id,dom_ok,mltask_ok,causa_provavel
A23US9O1,Nao,Nao,erro de DOMINIO (estagio 1)
A23US10O1,Nao,Nao,erro de DOMINIO (estagio 1)
A24US1Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A24US2Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A24US3Ge,Sim,Nao,"dominio ok, erro/vazio de ML TASK (estagio 2)"
A24US4Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A24US5Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A24US6Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A24US7Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A24US8Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A24US9Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A24US10Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A24US1Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A24US2Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A24US3Ll,Sim,Nao,"dominio ok, erro/vazio de ML TASK (estagio 2)"
A24US4Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A24US5Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A24US6Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A24US7Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A24US8Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A24US9Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A24US10Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A24US1O1,Nao,Nao,erro de DOMINIO (estagio 1)
A24US2O1,Nao,Nao,erro de DOMINIO (estagio 1)
A24US3O1,Nao,Nao,erro de DOMINIO (estagio 1)
A24US4O1,Nao,Nao,erro de DOMINIO (estagio 1)
A24US5O1,Nao,Nao,erro de DOMINIO (estagio 1)
A24US6O1,Nao,Nao,erro de DOMINIO (estagio 1)
A24US7O1,Nao,Nao,erro de DOMINIO (estagio 1)
A24US8O1,Sim,Nao,"dominio ok, erro/vazio de ML TASK (estagio 2)"
A24US9O1,Nao,Nao,erro de DOMINIO (estagio 1)
A24US10O1,Nao,Nao,erro de DOMINIO (estagio 1)
A25US1Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A25US2Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A25US3Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A25US4Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A25US5Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A25US6Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A25US7Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A25US8Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A25US9Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A25US10Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A25US1Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A25US2Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A25US3Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A25US4Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A25US5Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A25US6Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A25US7Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A25US8Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A25US9Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A25US10Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A25US1O1,Nao,Nao,erro de DOMINIO (estagio 1)
A25US2O1,Nao,Nao,erro de DOMINIO (estagio 1)
A25US3O1,Nao,Nao,erro de DOMINIO (estagio 1)
A25US4O1,Nao,Sim,erro de DOMINIO (estagio 1)
A25US5O1,Nao,Sim,erro de DOMINIO (estagio 1)
A25US6O1,Nao,Nao,erro de DOMINIO (estagio 1)
A25US7O1,Sim,Nao,"dominio ok, erro/vazio de ML TASK (estagio 2)"
A25US8O1,Nao,Nao,erro de DOMINIO (estagio 1)
A25US9O1,Nao,Nao,erro de DOMINIO (estagio 1)
A25US10O1,Nao,Nao,erro de DOMINIO (estagio 1)
A26US1Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A26US2Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A26US3Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A26US4Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A26US5Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A26US6Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A26US7Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A26US8Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A26US9Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A26US10Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A26US1Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A26US2Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A26US3Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A26US4Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A26US5Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A26US6Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A26US7Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A26US8Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A26US9Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A26US10Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A26US1O1,Nao,Nao,erro de DOMINIO (estagio 1)
A26US2O1,Nao,Nao,erro de DOMINIO (estagio 1)
A26US3O1,Nao,Sim,erro de DOMINIO (estagio 1)
A26US4O1,Nao,Nao,erro de DOMINIO (estagio 1)
A26US5O1,Nao,Nao,erro de DOMINIO (estagio 1)
A26US6O1,Nao,Nao,erro de DOMINIO (estagio 1)
A26US7O1,Nao,Sim,erro de DOMINIO (estagio 1)
A26US8O1,Nao,Sim,erro de DOMINIO (estagio 1)
A26US9O1,Nao,Nao,erro de DOMINIO (estagio 1)
A26US10O1,Nao,Sim,erro de DOMINIO (estagio 1)
A27US1Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A27US2Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A27US3Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A27US4Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A27US5Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A27US6Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A27US7Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A27US8Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A27US9Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A27US10Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A27US1Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A27US2Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A27US3Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A27US4Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A27US5Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A27US6Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A27US7Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A27US8Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A27US9Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A27US10Ll,Nao,Nao,erro de DOMINIO (estagio 1)
